date,AB,BC,MB,NB,NL,NS,ON,PE,QC,SK
2017,0.0441,0.2899,0.0415,0.041,0.0314,0.0388,0.165,0.0426,0.3603,0.0219
2018,0.0644,0.4823,0.0567,0.0494,0.0334,0.0481,0.3139,0.0557,0.595,0.0293
2019,0.1025,0.9281,0.0878,0.0702,0.0411,0.0653,0.4379,0.092,1.0128,0.0441
2020,0.1469,1.4495,0.1293,0.1073,0.0584,0.1156,0.5252,0.1483,1.4745,0.0766
2021,0.2167,2.0403,0.1916,0.1683,0.0937,0.1945,0.678,0.3298,1.9893,0.1179
2022,0.3398,2.776,0.3039,0.3007,0.1898,0.3434,0.9921,0.646,2.6433,0.1932
2023,0.5116,3.7585,0.4683,0.5352,0.3619,0.5797,1.4467,0.9726,3.5306,0.2918
2024,0.7481,4.9852,0.7191,0.9191,0.5907,0.9339,1.9545,1.4623,5.2014,0.4299
