CMAUID,name,province,geo_type,pop_2022,reg_total_2025,reg_zev_2025,ev_share_2025,n_quarters,cum_zev_2017p,stations,ports_l2,ports_dcfc,ports_total,evs_per_port,ports_per_100k
507,Arnprior,Ontario,CA,18396.0,842.0,65.0,7.72,4,250.0,4,4,4,8,31.2,43.5
541,Kitchener - Cambridge - Waterloo,Ontario,CMA,622497.0,25212.0,1931.0,7.66,4,11460.0,210,466,68,534,21.5,85.8
990,Whitehorse,Yukon,CA,35372.0,1480.0,112.0,7.57,4,666.0,12,37,6,43,15.5,121.6
406,Baie-Comeau,Quebec,CA,26667.0,2025.0,151.0,7.46,4,1103.0,12,10,11,21,52.5,78.7
210,Kentville,Nova Scotia,CA,29683.0,1156.0,80.0,6.92,4,305.0,21,36,16,52,5.9,175.2
531,Centre Wellington,Ontario,CA,32889.0,1648.0,114.0,6.92,4,566.0,9,40,0,40,14.2,121.6
970,Prince George,British Columbia,CA,96207.0,3470.0,239.0,6.89,4,1113.0,36,50,35,85,13.1,88.4
965,Terrace,British Columbia,CA,17682.0,798.0,53.0,6.64,4,194.0,9,9,10,19,10.2,107.5
905,Cranbrook,British Columbia,CA,28052.0,1314.0,80.0,6.09,4,358.0,21,34,11,45,8.0,160.4
539,St. Catharines - Niagara,Ontario,CMA,450501.0,18410.0,1118.0,6.07,4,6063.0,178,372,87,459,13.2,101.9
567,Collingwood,Ontario,CA,25722.0,1413.0,85.0,6.02,4,468.0,16,38,20,58,8.1,225.5
546,Tillsonburg,Ontario,CA,18252.0,851.0,51.0,5.99,4,233.0,4,5,2,7,33.3,38.4
544,Woodstock,Ontario,CA,49819.0,1972.0,118.0,5.98,4,709.0,25,71,15,86,8.2,172.6
533,Ingersoll,Ontario,CA,14521.0,569.0,34.0,5.98,4,163.0,10,20,17,37,4.4,254.8
602,Winnipeg,Manitoba,CMA,871778.0,36346.0,2153.0,5.92,4,8456.0,167,274,50,324,26.1,37.2
952,Quesnel,British Columbia,CA,24115.0,786.0,46.0,5.85,4,197.0,7,7,14,21,9.4,87.1
521,Kingston,Ontario,CMA,180070.0,7432.0,435.0,5.85,4,2495.0,87,216,46,262,9.5,145.5
553,Stratford,Ontario,CA,34643.0,1539.0,88.0,5.72,4,479.0,23,40,4,44,10.9,127.0
568,Barrie,Ontario,CMA,228979.0,12102.0,676.0,5.59,4,3886.0,57,165,57,222,17.5,97.0
543,Brantford,Ontario,CMA,158391.0,6258.0,348.0,5.56,4,1904.0,24,54,22,76,25.1,48.0
527,Cobourg,Ontario,CA,20258.0,1228.0,64.0,5.21,4,324.0,7,3,13,16,20.2,79.0
977,Fort St. John,British Columbia,CA,29730.0,2208.0,112.0,5.07,4,441.0,8,9,7,16,27.6,53.8
205,Halifax,Nova Scotia,CMA,480582.0,27884.0,1406.0,5.04,4,5773.0,113,203,30,233,24.8,48.5
509,Carleton Place,Ontario,CA,40644.0,1772.0,88.0,4.97,4,528.0,10,16,3,19,27.8,46.7
559,Windsor,Ontario,CMA,359672.0,17982.0,880.0,4.89,4,4393.0,186,319,35,354,12.4,98.4
610,Brandon,Manitoba,CA,63822.0,2911.0,141.0,4.84,4,471.0,23,28,15,43,11.0,67.4
516,Petawawa,Ontario,CA,19902.0,1084.0,52.0,4.8,4,238.0,4,7,2,9,26.4,45.2
547,Norfolk,Ontario,CA,73166.0,2443.0,117.0,4.79,4,589.0,13,17,12,29,20.3,39.6
555,London,Ontario,CMA,574238.0,33570.0,1565.0,4.66,4,7599.0,205,443,85,528,14.4,91.9
522,Belleville,Ontario,CMA,116013.0,5400.0,246.0,4.56,4,1175.0,34,52,44,96,12.2,82.7
512,Brockville,Ontario,CA,41217.0,1929.0,85.0,4.41,4,414.0,14,20,17,37,11.2,89.8
501,Cornwall,Ontario,CA,63160.0,2963.0,130.0,4.39,4,588.0,29,37,18,55,10.7,87.1
950,Williams Lake,British Columbia,CA,19596.0,845.0,36.0,4.26,4,178.0,4,1,11,12,14.8,61.2
215,Truro,Nova Scotia,CA,48282.0,2409.0,102.0,4.23,4,390.0,19,25,10,35,11.1,72.5
562,Sarnia,Ontario,CA,102216.0,4763.0,195.0,4.09,4,913.0,19,26,15,41,22.3,40.1
528,Port Hope,Ontario,CA,18109.0,1081.0,44.0,4.07,4,264.0,12,14,14,28,9.4,154.6
529,Peterborough,Ontario,CMA,135005.0,5764.0,234.0,4.06,4,1382.0,38,62,19,81,17.1,60.0
607,Portage la Prairie,Manitoba,CA,13647.0,741.0,29.0,3.91,4,105.0,5,4,8,12,8.8,87.9
571,Midland,Ontario,CA,41281.0,1880.0,70.0,3.72,4,356.0,10,23,1,24,14.8,58.1
975,Dawson Creek,British Columbia,CA,13784.0,650.0,24.0,3.69,4,121.0,8,8,10,18,6.7,130.6
603,Winkler,Manitoba,CA,35666.0,796.0,29.0,3.64,4,145.0,6,4,4,8,18.1,22.4
556,Chatham-Kent,Ontario,CA,109051.0,4400.0,159.0,3.61,4,814.0,28,34,21,55,14.8,50.4
580,Greater Sudbury / Grand Sudbury,Ontario,CMA,175357.0,10720.0,369.0,3.44,4,2025.0,28,42,15,57,35.5,32.5
565,Wasaga Beach,Ontario,CA,25852.0,1165.0,40.0,3.43,4,263.0,7,22,1,23,11.4,89.0
557,Leamington,Ontario,CA,54556.0,2210.0,75.0,3.39,4,451.0,18,31,5,36,12.5,66.0
575,North Bay,Ontario,CA,77037.0,4452.0,145.0,3.26,4,663.0,19,18,17,35,18.9,45.4
566,Owen Sound,Ontario,CA,34606.0,2154.0,70.0,3.25,4,487.0,16,17,25,42,11.6,121.4
725,Saskatoon,Saskatchewan,CMA,347536.0,14014.0,441.0,3.15,4,2209.0,52,70,23,93,23.8,26.8
220,New Glasgow,Nova Scotia,CA,35717.0,1693.0,53.0,3.13,4,184.0,10,19,1,20,9.2,56.0
705,Regina,Saskatchewan,CMA,268804.0,13585.0,418.0,3.08,4,1914.0,45,54,34,88,21.8,32.7
515,Pembroke,Ontario,CA,23415.0,1279.0,39.0,3.05,4,216.0,12,34,2,36,6.0,153.7
225,Cape Breton,Nova Scotia,CA,98821.0,5463.0,160.0,2.93,4,658.0,10,14,6,20,32.9,20.2
530,Kawartha Lakes,Ontario,CA,83356.0,4845.0,128.0,2.64,4,724.0,8,12,3,15,48.3,18.0
605,Steinbach,Manitoba,CA,15997.0,600.0,15.0,2.5,4,103.0,3,2,2,4,25.8,25.0
569,Orillia,Ontario,CA,35272.0,2302.0,56.0,2.43,4,368.0,11,28,8,36,10.2,102.1
595,Thunder Bay,Ontario,CMA,125334.0,8556.0,204.0,2.38,4,968.0,35,56,16,72,13.4,57.4
590,Sault Ste. Marie,Ontario,CA,81158.0,5278.0,125.0,2.37,4,558.0,12,14,19,33,16.9,40.7
582,Elliot Lake,Ontario,CA,11696.0,570.0,11.0,1.93,4,40.0,2,0,3,3,13.3,25.6
715,Moose Jaw,Saskatchewan,CA,35361.0,2104.0,36.0,1.71,4,224.0,7,2,15,17,13.2,48.1
745,Prince Albert,Saskatchewan,CA,46104.0,2582.0,44.0,1.7,4,175.0,9,6,11,17,10.3,36.9
995,Yellowknife,Northwest Territories,CA,22983.0,1137.0,19.0,1.67,4,120.0,5,5,2,7,17.1,30.5
586,Timmins,Ontario,CA,42675.0,3220.0,52.0,1.61,4,232.0,7,6,13,19,12.2,44.5
598,Kenora,Ontario,CA,15990.0,891.0,14.0,1.57,4,88.0,3,8,6,14,6.3,87.6
750,Estevan,Saskatchewan,CA,13148.0,915.0,14.0,1.53,4,58.0,4,2,9,11,5.3,83.7
720,Swift Current,Saskatchewan,CA,19438.0,1192.0,18.0,1.51,4,83.0,12,11,13,24,3.5,123.5
735,North Battleford,Saskatchewan,CA,19416.0,1131.0,16.0,1.41,4,87.0,8,6,11,17,5.1,87.6
710,Yorkton,Saskatchewan,CA,19399.0,1249.0,16.0,1.28,4,87.0,13,14,15,29,3.0,149.5
640,Thompson,Manitoba,CA,14421.0,750.0,6.0,0.8,4,28.0,7,6,4,10,2.8,69.3
755,Weyburn,Saskatchewan,CA,11143.0,765.0,3.0,0.39,4,53.0,4,6,1,7,7.6,62.8
